Sheet Product name,DB Product name,Sheet Variant name,DB Variant name,Sheet SKU,DB SKU,Match score,Match type,Notes
Etched Chau Gong,Etched Chau Gongs,36 in,36 in,MI-GO-CH-ET-36,MI-GO-CH-ET-36,98.9,sku_exact_text_diff,Product name differs
Etched Chau Gong,Etched Chau Gongs,40INCH,40 in,MI-GO-CH-ET-40,MI-GO-CH-ET-40,83,sku_exact_text_diff,Product name differs; Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddha / 8in,8 in / Buddha,MI-SB-HM-ET-B-8,MI-SB-HM-ET-B-8,99,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Sacred Geometry / 8in,8 in / Sacred Geometry,MI-SB-HM-ET-SG-8,MI-SB-HM-ET-SG-8,99.4,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Golden Feet / 8in,8 in / Golden Feet,MI-SB-HM-ET-GF-8,MI-SB-HM-ET-GF-8,99.3,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddhas Eyes / 6in,6 in / Buddhas Eyes,MI-SB-HM-ET-BE-6,MI-SB-HM-ET-BE-6,99.3,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddhas Eyes / 7in,7 in / Buddhas Eyes,MI-SB-HM-ET-BE-7,MI-SB-HM-ET-BE-7,99.3,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddhas Eyes / 8in,8 in / Buddhas Eyes,MI-SB-HM-ET-BE-8,MI-SB-HM-ET-BE-8,99.3,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddhas Eyes /12in,12 in / Buddhas Eyes,MI-SB-HM-ET-BE-12,MI-SB-HM-ET-BE-12,98.7,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Buddhas Eyes /13in,13 in / Buddhas Eyes,MI-SB-HM-ET-BE-13,MI-SB-HM-ET-BE-13,98.7,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 6in,6 in / Chakras,MI-SB-HM-ET-C-6,MI-SB-HM-ET-C-6,99.1,sku_exact_text_diff,Variant name differs
