excel_sku,excel_name,candidates
SB-M-S-SH-RD-EL,Mallets Striking Streight head Red Extra Large,"[(75.97826086956522, 'Tibetan Buddhist Bell', 'woo-var-47410', ['Extra Large']), (72.71739130434783, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.71739130434783, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large'])]"
SB-M-S-SH-RD-SL,Mallets Striking Streight head Red Super Large,"[(72.71739130434783, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.71739130434783, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (72.71739130434783, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-RH-WT-S,Mallets Striking Round head White Small,"[(73.2051282051282, 'Bendo Shaker', 'woo-var-47922', ['Small']), (73.2051282051282, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (73.2051282051282, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
SB-M-S-RH-WT-L,Mallets Striking Round head White Large,"[(73.2051282051282, 'Bendo Shaker', 'woo-var-47923', ['Large']), (73.2051282051282, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (73.2051282051282, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-RH-WT-EL,Mallets Striking Round head White Extra Large,"[(76.11111111111111, 'Tibetan Buddhist Bell', 'woo-var-47410', ['Extra Large']), (72.77777777777777, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.77777777777777, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large'])]"
SB-M-S-RH-RD-S,Mallets Striking Round head Red Small,"[(73.37837837837837, 'Bendo Shaker', 'woo-var-47922', ['Small']), (73.37837837837837, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (73.37837837837837, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
SB-M-S-RH-RD-L,Mallets Striking Round head Red Large,"[(73.37837837837837, 'Bendo Shaker', 'woo-var-47923', ['Large']), (73.37837837837837, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (73.37837837837837, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
SB-M-S-RH-RD-EL,Mallets Striking Round head Red Extra Large,"[(76.3953488372093, 'Tibetan Buddhist Bell', 'woo-var-47410', ['Extra Large']), (72.90697674418604, 'Bendo Shaker', 'woo-var-47923', ['Large']), (72.90697674418604, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large'])]"
SB-M-R-RD-W-S,Mallet Rim Red Wide -Small,"[(75.0, 'Bendo Shaker', 'woo-var-47922', ['Small']), (75.0, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (75.0, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
SB-M-R-WT-S,Mallet-Rim-White-Wide-Small,"[(74.62962962962963, 'Bendo Shaker', 'woo-var-47922', ['Small']), (74.62962962962963, 'Kenari Chimes - Small & Large', 'woo-var-46430', ['Small']), (74.62962962962963, 'Pulse Tubes', 'woo-var-48762', ['Small'])]"
MI-BCH-P-10,Bar Chime -10 Plain,"[(76.94444444444444, 'Wooden Maracas Shakers | Plain & Dot Painted', 'woo-var-44153', ['Plain']), (76.94444444444444, 'Coconut Maracas Shakers', 'woo-var-45394', ['Plain']), (76.94444444444444, 'Dumru/Dumroo Indian Handmade Percussion Instrument', 'woo-var-47720', ['Plain'])]"
MI-TF-SS,Tuning Forks -Solfeggio Set,"[(100, 'Tuning Forks Solfeggio Set', 'woo-var-48203', ['Weighted']), (100, 'Tuning Forks Solfeggio Set', 'woo-var-48204', ['Unweighted'])]"
MI-AS-2,Sarveda Asalato/Aslatau or Kashaka Shaker | Pair,"[(87.93478260869566, 'Asalato/Aslatau or Kashaka Shaker', 'woo-var-46377', ['Plain', 'Single']), (87.93478260869566, 'Asalato/Aslatau or Kashaka Shaker', 'woo-var-46378', ['Pair', 'Plain']), (87.93478260869566, 'Asalato/Aslatau or Kashaka Shaker', 'woo-var-46379', ['Painted', 'Single'])]"
MI-HP,Handpan 9/10 Notes Handpan Drum - Handcrafted to Precision - D Kurd 10,"[(91.96969696969697, '9/10 Notes Handpan Drum - Handcrafted to Precision', 'woo-var-8078', ['D Kurd 10']), (88.18181818181819, '9/10 Notes Handpan Drum - Handcrafted to Precision', 'woo-var-8077', ['D Celtic Minor 9'])]"
MI-Gg-Bag-M,Gong Bag Medium,"[(80.0, 'Crystal Bowl Bag', 'woo-var-47083', ['Medium']), (80.0, 'Shankh/Conch', 'woo-var-45451', ['Medium']), (80.0, 'Shamanic Drum Bags/Ocean Drum Bags', 'woo-var-46932', ['Medium'])]"
Mi-DM-Bag-L,Drum Bag Large,"[(78.92857142857143, 'Bendo Shaker', 'woo-var-47923', ['Large']), (78.92857142857143, 'Kenari Chimes - Small & Large', 'woo-var-46431', ['Large']), (78.92857142857143, 'Crystal Bowl Bag', 'woo-var-47084', ['Large'])]"
MI-Gg-S-M -D,Gong Stand - Meduim Dark,"[(81.36363636363636, 'Gong Stand', 'woo-var-45294', ['Light', 'Small']), (81.36363636363636, 'Gong Stand', 'woo-var-45295', ['Light', 'Medium']), (81.36363636363636, 'Gong Stand', 'woo-var-45296', ['Large', 'Light'])]"
MI-Gg-S-M-L,Gong Stand - Meduim Light,"[(80.86956521739131, 'Gong Stand', 'woo-var-45294', ['Light', 'Small']), (80.86956521739131, 'Gong Stand', 'woo-var-45295', ['Light', 'Medium']), (80.86956521739131, 'Gong Stand', 'woo-var-45298', ['Medium', 'Dark'])]"
MI-Gg-S-S-L,Gong Stand - Small Light,"[(81.36363636363636, 'Gong Stand', 'woo-var-45294', ['Light', 'Small']), (81.36363636363636, 'Gong Stand', 'woo-var-45295', ['Light', 'Medium']), (81.36363636363636, 'Gong Stand', 'woo-var-45298', ['Medium', 'Dark'])]"
Mi-BT,Box Tanpura,"[(100, 'Box Tanpura', 'woo-var-47882', ['Male Tanpura']), (100, 'Box Tanpura', 'woo-var-47883', ['Female Tanpura'])]"
Mi-SB-HB-Sl,Hanging Bowl - Single,"[(77.89473684210526, 'Hanging Bowls/Zen Drops', 'woo-var-45117', ['Single']), (77.89473684210526, 'Mini Bamboo Slide Whistle', 'woo-var-47790', ['Single'])]"
Mi-BF,Bird Flute,"[(100, 'Bird Flute', 'woo-var-45871', ['Brown', 'Single']), (100, 'Bird Flute', 'woo-var-45872', ['Brown', 'Pair']), (100, 'Bird Flute', 'woo-var-48645', ['Pair', 'Green'])]"
Mi-BF-P,Bird Flute Pair,"[(87.85714285714286, 'Bird Flute', 'woo-var-48645', ['Pair', 'Green']), (87.85714285714286, 'Bird Flute', 'woo-var-48660', ['Pair', 'Mixed']), (86.66666666666666, 'Bird Flute', 'woo-var-45871', ['Brown', 'Single'])]"
