excel_sku,db_sku,excel_name,product_name,attrs,slug
MI-SB-C-O-20,MI-SB-C-O-20,Silk RIng Cushions for Singing Bowl-Orange-20ms,Singing Bowls Silk Ring Cushion Accessories,"Orange, 20 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-O-22,MI-SB-C-O-22,Silk RIng Cushions for Singing Bowl-Orange-22ms,Singing Bowls Silk Ring Cushion Accessories,"Orange, 22 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-10,MI-SB-C-Bn-10,Silk RIng Cushions for Singing Bowl-Brown-10cms,Singing Bowls Silk Ring Cushion Accessories,"10 cms, Brown",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-12,MI-SB-C-Bn-12,Silk RIng Cushions for Singing Bowl-Brown-12cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 12 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-14,MI-SB-C-Bn-14,Silk RIng Cushions for Singing Bowl-Brown-14cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 14 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-16,MI-SB-C-Bn-16,Silk RIng Cushions for Singing Bowl-Brown-16cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 16 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-18,MI-SB-C-Bn-18,Silk RIng Cushions for Singing Bowl-Brown-18cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 18 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-20,MI-SB-C-Bn-20,Silk RIng Cushions for Singing Bowl-Brown-20cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 20 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Bn-22,MI-SB-C-Bn-22,Silk RIng Cushions for Singing Bowl-Brown-22cms,Singing Bowls Silk Ring Cushion Accessories,"Brown, 22 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-10,MI-SB-C-Y-10,Silk RIng Cushions for Singing Bowl-Yellow-10cms,Singing Bowls Silk Ring Cushion Accessories,"10 cms, Yellow",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-12,MI-SB-C-Y-12,Silk RIng Cushions for Singing Bowl-Yellow 12cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 12 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-14,MI-SB-C-Y-14,Silk RIng Cushions for Singing Bowl-Yellow-14cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 14 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-16,MI-SB-C-Y-16,Silk RIng Cushions for Singing Bowl-Yellow-16cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 16 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-18,MI-SB-C-Y-18,Silk RIng Cushions for Singing Bowl-Yellow-18cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 18 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-20,MI-SB-C-Y-20,Silk RIng Cushions for Singing Bowl-Yellow- 20 cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 20 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-Y-22,MI-SB-C-Y-22,Silk RIng Cushions for Singing Bowl-Yellow-22 Cms,Singing Bowls Silk Ring Cushion Accessories,"Yellow, 22 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-10,MI-SB-C-PK-10,Silk RIng Cushions for Singing Bowl-Pink-10cms,Singing Bowls Silk Ring Cushion Accessories,"10 cms, Pink",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-12,MI-SB-C-PK-12,Silk RIng Cushions for Singing Bowl-Pink 12cms,Singing Bowls Silk Ring Cushion Accessories,"Pink, 12 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-14,MI-SB-C-PK-14,Silk RIng Cushions for Singing Bowl- Pink 14cms,Singing Bowls Silk Ring Cushion Accessories,"Pink, 14 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-16,MI-SB-C-PK-16,Silk RIng Cushions for Singing Bowl-Pink -16cms,Singing Bowls Silk Ring Cushion Accessories,"16 cms, Pink",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-18,MI-SB-C-PK-18,Silk RIng Cushions for Singing Bowl-Pink-18cms,Singing Bowls Silk Ring Cushion Accessories,"18 cms, Pink",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-20,MI-SB-C-PK-20,Silk RIng Cushions for Singing Bowl-Pink-20 cms,Singing Bowls Silk Ring Cushion Accessories,"20 cms, Pink",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-PK-22,MI-SB-C-PK-22,Silk RIng Cushions for Singing Bowl-Pink-22cms,Singing Bowls Silk Ring Cushion Accessories,"22 cms, Pink",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-10,MI-SB-C-BK-10,Silk RIng Cushions for Singing Bowl-Black-10cms,Singing Bowls Silk Ring Cushion Accessories,"10 cms, Black",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-12,MI-SB-C-BK-12,Silk RIng Cushions for Singing Bowl-Black 12cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 12 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-14,MI-SB-C-BK-14,Silk RIng Cushions for Singing Bowl- Black 14cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 14 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-16,MI-SB-C-BK-16,Silk RIng Cushions for Singing Bowl-Black -16cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 16 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-18,MI-SB-C-BK-18,Silk RIng Cushions for Singing Bowl-Black-18cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 18 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-20,MI-SB-C-BK-20,Silk RIng Cushions for Singing Bowl-Black 20cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 20 cms",singing-bowls-silk-ring-cushion-accessories
MI-SB-C-BK-22,MI-SB-C-BK-22,Silk RIng Cushions for Singing Bowl-Black 22cms,Singing Bowls Silk Ring Cushion Accessories,"Black, 22 cms",singing-bowls-silk-ring-cushion-accessories
MI-XP-W-15,MI-XP-W-15,Wooden Xylophone - 15 Keys,Teak Wood - Stainless Steel Xylophone,15 Keys,teak-wood-stainless-steel-xylophone
MI-XP-SP-1-8,MI-XP-SP-1-8,"Steel Plate Xylophone - 1""- 8 Keys",8 Keys Metallophone - with 1” & 1.5” key-widths,1 inch,8-keys-metallophone-with-1-1-5-key-widths
MI-XP-SP-1.5-8,MI-XP-SP-1.5-8,"Steel Plate Xylophone - 1.5""- 8 Keys",8 Keys Metallophone - with 1” & 1.5” key-widths,1.5 inch,8-keys-metallophone-with-1-1-5-key-widths
MI-SC-6,MI-SC-6,Swinging Chimes- 6 Chimes,Swinging Chimes,6 Bars,swinging-chimes
MI-SC-9,MI-SC-9,Swinging Chimes- 9 Chimes,Swinging Chimes,9 Bars,swinging-chimes
MI-BCH-32,MI-BCH-32,Bar Chime -32,32 Rods - Bar Chime,,32-rods-bar-chime
MI-Ch-KS,MI-Ch-KS,Koshi Chimes,Elemental Chimes,,elemental-chimes
MI-TF-W-432,MI-TF-W-432,Tuning Fork -W-432 Hz,Tuning Fork - Single Weighted & Unweighted,"Weighted, 432 Hz",tuning-fork-single-weighted-unweighted
MI-TF-W-128,MI-TF-W-128,Tuning Fork -W-128 Hz,Tuning Fork - Single Weighted & Unweighted,"Weighted, 128 Hz",tuning-fork-single-weighted-unweighted
MI-TF-W-256,MI-TF-W-256,Tuning Fork -W-256 Hz,Tuning Fork - Single Weighted & Unweighted,"Weighted, 256 Hz",tuning-fork-single-weighted-unweighted
MI-SB-Bag-S,MI-SB-Bag-S,Singing Bowl Bag Small,Singing Bowl Bags,Small,singing-bowl-bags
MI-SB-Bag-M,MI-SB-Bag-M,Singing Bowl Bag Medium,Singing Bowl Bags,Standard,singing-bowl-bags
MI-SB-Bag-L,MI-SB-Bag-L,Singing Bowl Bag Large,Singing Bowl Bags,Large,singing-bowl-bags
MI-Gg-Bag-L,MI-Gg-Bag-L,Gong Bag Large,Gong Bags,Large,gong-bags
MI-Gg-Bag-S,MI-Gg-Bag-S,Gong Bag Small,Gong Bags,Standard,gong-bags
