sheet_name,sheet_variant,sheet_sku,db_name,db_variant,db_sku
Rectangular Yoga Bolster,Rouge Pink,YO-BR-RT-RP,Rectangular Yoga Bolster,Rouge Pink,YO-BR-RT-RP
Eye Shaped - Eye Pillows,Rose,YO-EP-R,Eye Shaped - Eye Pillows,Rose,YO-EP-R
Eye Shaped - Eye Pillows,Dark Grey,YO-EP-DG,Eye Shaped - Eye Pillows,Dark Grey,YO-EP-DG
Eye Shaped - Eye Pillows,Grey,YO-EP-GY,Eye Shaped - Eye Pillows,Grey,YO-EP-GY
Eye Shaped - Eye Pillows,Navy Blue,YO-EP-NB,Eye Shaped - Eye Pillows,Navy Blue,YO-EP-NB
Eye Shaped - Eye Pillows,Sage,YO-EP-S,Eye Shaped - Eye Pillows,Sage,YO-EP-S
Yoga Belt/Strap,Sky Blue,YO-BL-SB,Yoga Belt/Strap,Sky Blue,YO-BL-SB
Yoga Belt/Strap,Beige,YO-BL-BE,Yoga Belt/Strap,Beige,YO-BL-BE
Yoga Belt/Strap,Green,YO-BL-G,Yoga Belt/Strap,Green,YO-BL-G
Yoga Belt/Strap,Navy Blue,YO-BL-NB,Yoga Belt/Strap,Navy Blue,YO-BL-NB
Yoga Belt/Strap,Rose,YO-BL-R,Yoga Belt/Strap,Rose,YO-BL-R
Yoga Blanket,Magenta,YO-BT-MG,Yoga Blanket,Magenta,YO-BT-MG
Yoga Blanket,Brown,YO-BT-BR,Yoga Blanket,Brown,YO-BT-BR
Yoga Blanket,Natural White,YO-BT-W,Yoga Blanket,Natural White,YO-BT-W
Zafu Meditation Cushion - Plain,Dark Grey,ME-Z-DG,Zafu Meditation Cushion - Plain,Dark Grey,ME-Z-DG
Zafu Meditation Cushion - Plain,Navy Blue,ME-Z-NB,Zafu Meditation Cushion - Plain,Navy Blue,ME-Z-NB
Zafu Meditation Cushion - Plain,Orange,ME-Z-O,Zafu Meditation Cushion - Plain,Orange,ME-Z-O
Zafu Meditation Cushion - Plain,Rose,ME-Z-R,Zafu Meditation Cushion - Plain,Rose,ME-Z-R
Zafu Meditation Cushion - Plain,Sage,ME-Z-S,Zafu Meditation Cushion - Plain,Sage,ME-Z-S
Zafu Meditation Cushion - Plain,Light Grey,ME-Z-LG,Zafu Meditation Cushion - Plain,Light Grey,ME-Z-LG
Zafu Meditation Cushion - Plain,Lavender,ME-Z-LR,Zafu Meditation Cushion - Plain,Lavender,ME-Z-LR
