slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
s-shaped-didgeridoo,S-Shaped Didgeridoo,7307,ACTIVE,VARIABLE,"",gst-5,0,554,"","",3,6,3,7,12,0,4,false
stainless-steel-straws,Stainless Steel Straws,6505,ACTIVE,VARIABLE,"",gst-5,0,573,"","",2,10,2,7,8,0,0,false
sunshine-within-me,Sunshine within Me,5669,ACTIVE,VARIABLE,"",gst-5,0,706,"","",4,8,0,7,16,0,0,false
svaram-sound-ships,Svaram sound ships,"",ARCHIVED,VARIABLE,"",standard,343,38,"",https://sarveda-media.s3.amazonaws.com/media/audio/1780565476202-file_example_MP3_5MG.mp3,1,4,0,2,4,0,0,true
swinging-chimes,Swinging Chimes,10345,ACTIVE,VARIABLE,"",gst-5,978,1351,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/6-bar-chime.mp3,2,6,2,7,8,0,3,false
tam-tam-chau-gong,Tam-Tam/Chau Gong,8802,ACTIVE,VARIABLE,"",gst-5,0,861,"","",9,5,0,7,36,0,0,false
teak-wood-stainless-steel-xylophone,Teak Wood - Stainless Steel Xylophone,7443,ACTIVE,VARIABLE,"",gst12,0,980,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/Wooden-Xylophone.mp3,2,9,0,7,8,0,0,false
the-four-bowl-set-root-heart-third-eye-and-universal,"The Four Bowl Set - Root, Heart, Third Eye and Universal",45334,ACTIVE,SIMPLE,"",gst-5,497,497,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/CFA-with-Universal.mp3,1,4,0,7,4,0,4,false
the-head-bowl,The Head Bowl,45518,ACTIVE,SIMPLE,"",gst-5,1690,1690,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/Head-Bowl.mp3,1,2,0,7,4,0,0,false
the-three-bowl-set-root-heart-and-third-eye,"The Three Bowl Set - Root, Heart and Third Eye",45327,ACTIVE,SIMPLE,"",gst-5,499,499,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/CFA.mp3,1,4,0,7,4,0,4,false
third-eye-chakra-singing-bowl,Third Eye Chakra Singing Bowl,45477,ACTIVE,SIMPLE,"",gst-5,1060,1060,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/A3.mp3,1,4,0,7,4,0,4,false
thunder-tube-basic-edition,Thunder Tube - Basic Edition,7317,ACTIVE,VARIABLE,"",gst-5,0,874,"","",3,10,0,7,12,0,0,false
tibetan-buddhist-bell,Tibetan Buddhist Bell,6973,ACTIVE,VARIABLE,"",gst-5,0,600,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/02/Buddhist-Bell-.mp3,4,3,0,7,16,0,0,false
tingsha-bell,Tingsha Bell,5763,ACTIVE,VARIABLE,"",gst-5,4,610,"","",6,11,0,7,24,0,0,false
triad-crystal-bowl-set,Triad Crystal Bowl Set,45668,ACTIVE,VARIABLE,"",gst18,960,960,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/11/WhatsApp-Audio-2025-11-17-at-1.09.16-PM-1.mp4,3,4,0,7,12,0,4,false
tune-sound-pipe,Tune Sound Pipe,45527,DRAFT,VARIABLE,"",standard,869,869,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/WhatsApp-Audio-2025-04-28-at-06.04.06.mp4,4,2,0,7,16,0,0,false
tuning-fork-activators,Tuning Fork Activators,48133,ACTIVE,VARIABLE,"",gst18,595,595,"","",3,1,0,7,12,0,0,false
tuning-fork-extensions,Tuning Fork Extensions,48135,ACTIVE,VARIABLE,"",standard,1091,1091,"","",3,1,0,7,12,0,0,false
tuning-forks-7-chakra-set,Tuning Forks 7 Chakra Set,48193,ACTIVE,VARIABLE,"",standard,593,593,"","",8,1,0,7,32,0,0,false
tuning-forks-gem-feet,Tuning Forks Gem Feet,48136,ACTIVE,VARIABLE,"",standard,546,410,"","",8,1,0,7,32,0,0,false
tuning-fork-single-weighted-unweighted,Tuning Fork - Single Weighted & Unweighted,9713,ACTIVE,VARIABLE,"",gst-5,0,1518,"","",18,20,3,7,72,0,0,false
tuning-forks-solfeggio-set,Tuning Forks Solfeggio Set,48202,ACTIVE,VARIABLE,"",standard,558,558,"","",2,1,0,7,8,0,0,false
tuning-swords-sound-therapy-instrument,Tuning Swords – Sound Therapy Instrument,49818,DRAFT,VARIABLE,"",gst18,172,1205,"","",3,1,0,7,0,0,0,false
vibroacoustic-therapy-bowls-universal-belly-and-head,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",8040,ACTIVE,VARIABLE,"",gst-5,887,887,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/11/Universal-Bowl-Strike-.mp3,4,3,0,7,16,0,5,false
wooden-mallets-for-singing-bowls,Wooden Mallets for Singing Bowls,6978,ACTIVE,VARIABLE,"",gst-5,0,509,"","",17,30,9,7,68,0,3,false
wooden-maracas-shakers-plain-dot-painted,Wooden Maracas Shakers | Plain & Dot Painted,7542,ACTIVE,VARIABLE,"",gst-5,0,542,"","",2,9,0,7,8,0,4,false
wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,48229,ACTIVE,VARIABLE,"",standard,332,332,"","",4,1,0,7,16,0,0,false
wooden-tambourines,Wooden Tambourines,7478,ACTIVE,VARIABLE,"",gst12,590,608,"","",2,9,0,7,8,0,0,false
yoga-belt-strap-for-sturdy-grip,Yoga Belt/Strap for Sturdy Grip,6530,ACTIVE,VARIABLE,"",gst-5,0,895,"","",5,17,5,7,20,0,0,false
yoga-blanket-made-from-organic-cotton,Yoga Blanket made from Organic Cotton,6668,ACTIVE,VARIABLE,"",gst-5,0,646,"","",3,12,3,7,12,0,4,false
yoga-mats-superior-moderate,Yoga Mats Superior & Moderate,46017,DRAFT,VARIABLE,"",gst-5,294,945,"","",24,1,0,7,96,0,5,false
zabuton-cushion-for-meditation,Zabuton Cushion for Meditation,6780,ACTIVE,VARIABLE,"",gst18,841,841,"","",5,17,5,7,20,0,3,false
zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,9278,ACTIVE,VARIABLE,"",gst18,924,924,"","",5,17,5,7,20,0,4,false
zafu-meditation-cushion-plain-filled-with-cotton,Zafu Meditation Cushion Plain Filled with Cotton,6711,ACTIVE,VARIABLE,"",gst18,835,835,"","",10,20,10,7,40,0,0,false
zafu-zabuton-meditation-cushion-combo,Zafu & Zabuton Meditation Cushion Combo,7177,ACTIVE,VARIABLE,"",gst18,686,686,"","",5,15,5,7,20,0,4,false
zafu-zabuton-meditation-cushion-combo-lotus-embroidery,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,9312,ACTIVE,VARIABLE,"",gst18,775,775,"","",3,13,3,7,12,0,4,false
zen-meditation-bench,Zen Meditation Bench,9763,ACTIVE,VARIABLE,"",gst18,0,1062,"","",3,8,0,7,12,0,0,false
