slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
ankh-sound-healing-instrument,Ankh Sound Healing Instrument,49596,DRAFT,VARIABLE,"",standard,156,844,"","",2,1,0,7,0,0,0,false
antique-finish-handmade-singing-bowls,Antique finish Handmade Singing Bowls,9964,DRAFT,VARIABLE,"",gst-5,0,690,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Handmade-B-7-inch.mp3,7,7,7,7,28,0,4,false
artistically-designed-copper-bottles,Artistically Designed Copper Bottles,6007,ACTIVE,VARIABLE,"",gst-5,0,706,"","",20,12,20,7,80,0,4,false
asalato-aslatau-or-kashaka-shaker,Asalato/Aslatau or Kashaka Shaker,7300,ACTIVE,VARIABLE,"",gst-5,0,1024,"","",4,10,0,7,16,0,4,false
ayurvedic-copper-bedroom-jar,Ayurvedic Copper Bedroom Jar,6289,ACTIVE,SIMPLE,"",gst-5,0,598,"","",1,9,0,7,4,0,4,false
bamboo-castanet,Bamboo Castanet,7329,ACTIVE,SIMPLE,"",gst-5,0,506,"","",1,8,0,7,4,0,4,false
bamboo-jaw-harp,Bamboo Jaw Harp,46498,ACTIVE,SIMPLE,"",gst12,177,568,"","",1,3,0,7,4,0,4,false
bamboo-rainstick,Bamboo Rainstick,7484,DRAFT,VARIABLE,"",gst-5,0,621,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/Bamboo-Rainstick-.mp3,4,8,4,7,16,0,6,false
bamboo-rainstick-49779,Bamboo Rainstick,49779,ACTIVE,SIMPLE,"",gst-5,260,621,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/08/Bamboo-Rainstick-.mp3,1,1,0,7,4,0,6,false
belly-bowls,Belly Bowls,47924,ACTIVE,SIMPLE,"",standard,613,613,"","",1,1,0,7,4,0,0,false
bendo-chimes,Bendo Chimes,47751,ACTIVE,SIMPLE,"",gst18,330,650,"","",1,1,0,7,4,0,0,false
bendo-shaker,Bendo Shaker,47742,ACTIVE,VARIABLE,"",gst18,550,550,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/10/bendo-shaker.mp3,2,1,0,7,8,0,0,false
