action_group,product_slug,product_name,db_variant_name,sheet_variant_name,db_sku,sheet_sku,action_needed,variant_axis_order
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Maroon,Maroon,MI-TF-GF-M,MI-TF-GF-M,none,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Red,Red,MI-TF-GF-R,MI-TF-GF-R,none,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Violet,Violet,MI-TF-GF-V,MI-TF-GF-V,none,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Yellow,Yellow,MI-TF-GF-Y,MI-TF-GF-Y,none,
exact_variant_name,tuning-forks-solfeggio-set,Tuning Forks Solfeggio Set,Unweighted,Unweighted,MI-TF-SS-UW,MI-TF-SF-UW-SET9,update_sku,
exact_variant_name,tuning-forks-solfeggio-set,Tuning Forks Solfeggio Set,Weighted,Weighted,MI-TF-SS-W,MI-TF-SF-W-SET9,update_sku,
exact_variant_name,wooden-maracas-shakers-plain-dot-painted,Wooden Maracas Shakers | Plain & Dot Painted,Dot Painted,Dot Painted,MI-WM-P,MI-WMS-DP,update_sku,
exact_variant_name,wooden-maracas-shakers-plain-dot-painted,Wooden Maracas Shakers | Plain & Dot Painted,Plain,Plain,MI-WM,MI-WMS,update_sku,
exact_variant_name,wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,Five,Five,MI-TF-WS-5,MI-TF-WS-5,none,
exact_variant_name,wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,Nine,Nine,MI-TF-WS-9,MI-TF-WS-9,none,
exact_variant_name,wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,Seven,Seven,MI-TF-WS-7,MI-TF-WS-7,none,
exact_variant_name,wooden-stand-for-tuning-forks,Wooden Stand for Tuning Forks,Three,Three,MI-TF-WS-3,MI-TF-WS-3,none,
exact_variant_name,wooden-tambourines,Wooden Tambourines,Circular,Circular,MI-T-C,MI-WTM-C,update_sku,
exact_variant_name,wooden-tambourines,Wooden Tambourines,Half-Moon,Half-Moon,MI-T-HM,MI-WTM-HM,update_sku,
exact_variant_name,zen-meditation-bench,Zen Meditation Bench,Large,Large,ME-BE-L,ME-ZMB-L,update_sku,
exact_variant_name,zen-meditation-bench,Zen Meditation Bench,Medium,Medium,ME-BE-M,ME-ZMB-M,update_sku,
exact_variant_name,zen-meditation-bench,Zen Meditation Bench,Small,Small,ME-BE-S,ME-ZMB-S,update_sku,
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,Blue / 10 inches,10 inches / Blue,MI-TD-11N-B-10,MI-TD-11N-B-10,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,White / 10 inches,10 inches / White,MI-TD-11N-W-10,MI-TD-11N-W-10,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,Blue / 12 inches,12 inches / Blue,MI-TD-11N-B-12,MI-TD-11N-B-12,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,White / 12 inches,12 inches / White,MI-TD-11N-W-12,MI-TD-11N-W-12,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,Blue / 6 inches,6 inches / Blue,MI-TD-11N-B-6,MI-TD-11N-B-6,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,White / 6 inches,6 inches / White,MI-TD-11N-W-6,MI-TD-11N-W-6,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,Blue / 8 inches,8 inches / Blue,MI-TD-11N-B-8,MI-TD-11N-B-8,update_variant_label_order,"size,color"
fuzzy_variant_order,11-note-tongue-drum,11 Note Tongue Drum,White / 8 inches,8 inches / White,MI-TD-11N-W-8,MI-TD-11N-W-8,update_variant_label_order,"size,color"
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Blue / Moderate,Moderate / Blue,Yo-M-C-MG-B-27,YO-M-CT-7C-M-B,"update_variant_label_order,update_sku",
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Green / Moderate,Moderate / Green,Yo-M-C-MG-G-27,YO-M-CT-7C-M-G,"update_variant_label_order,update_sku",
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Orange / Moderate,Moderate / Orange,Yo-M-C-MG-o-27,YO-M-CT-7C-M-O,"update_variant_label_order,update_sku",
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Pink / Moderate,Moderate / Pink,Yo-M-C-MG-P-27,YO-M-CT-7C-M-P,"update_variant_label_order,update_sku",
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Orange / Superior,Orange / Superior,Yo-M-C-HG-O,YO-M-CT-7C-S-O,update_sku,
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Pink / Superior,Pink / Superior,Yo-M-C-HG-P,YO-M-CT-7C-S-P,update_sku,
