sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
GP-CB-7C-V-2G,Copper Bottle Gift Set - 7 Chakra,Vintage,790.0,copper-bottle-gift-set-7-chakra,1750.0,2150.0,ACTIVE,False
IS-7C,7 Chakras Mystical Incense Sticks Set,7 Chakra Set,380.0,7-chakras-mystical-incense-sticks-set,480.0,545.0,ACTIVE,False
IS-7C-S,7 Chakras Mystical Incense Sticks Set,7 Chakra Set with Stand,440.0,7-chakras-mystical-incense-sticks-set,565.0,625.0,ACTIVE,False
IS-C-12,7 Chakras Mystical Incense Sticks Set,Pure Citronella,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-E-12,7 Chakras Mystical Incense Sticks Set,Pure Eucalyptus,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-F-12,7 Chakras Mystical Incense Sticks Set,Pure Frankincense,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-L-12,7 Chakras Mystical Incense Sticks Set,Pure Lavender,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-M-12,7 Chakras Mystical Incense Sticks Set,Pure Musk,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-R-12,7 Chakras Mystical Incense Sticks Set,Pure Rose,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
IS-S-12,7 Chakras Mystical Incense Sticks Set,Pure Sandalwood,50.0,7-chakras-mystical-incense-sticks-set,80.0,104.0,ACTIVE,False
Yo-M-C-MG-G-27,7 Chakras Yoga Mats,Moderate / Green,930.0,7-chakras-yoga-mats,1790.0,2450.0,ACTIVE,False
Yo-M-C-MG-o-27,7 Chakras Yoga Mats,Moderate / Orange,930.0,7-chakras-yoga-mats,1790.0,2450.0,ACTIVE,False
Yo-M-C-MG-B-27,7 Chakras Yoga Mats,Moderate / Blue,930.0,7-chakras-yoga-mats,1790.0,2450.0,ACTIVE,False
Yo-M-C-MG-P-27,7 Chakras Yoga Mats,Moderate / Pink,930.0,7-chakras-yoga-mats,1790.0,2450.0,ACTIVE,False
Yo-M-C-HG-T,7 Chakras Yoga Mats,Teal/ Superior,960.0,7-chakras-yoga-mats,1990.0,2750.0,ACTIVE,False
Yo-M-C-HG-O,7 Chakras Yoga Mats,Orange / Superior,960.0,7-chakras-yoga-mats,1990.0,2750.0,ACTIVE,False
Yo-M-C-HG-Y,7 Chakras Yoga Mats,Yellow / Superior,960.0,7-chakras-yoga-mats,1990.0,2750.0,ACTIVE,False
Yo-M-C-HG-P,7 Chakras Yoga Mats,Pink / Superior,960.0,7-chakras-yoga-mats,1990.0,2750.0,ACTIVE,False
Yo-MC-MS-G,Macrame Yoga Mat Straps,Green,250.0,macrame-yoga-mat-straps,585.0,760.0,ACTIVE,False
Yo-MC-MS-B,Macrame Yoga Mat Straps,Brown,250.0,macrame-yoga-mat-straps,585.0,760.0,ACTIVE,False
Yo-MC-MS-DG,Macrame Yoga Mat Straps,Dark Grey,250.0,macrame-yoga-mat-straps,585.0,760.0,ACTIVE,False
Yo-MC-MS-O,Macrame Yoga Mat Straps,Orange,250.0,macrame-yoga-mat-straps,585.0,760.0,ACTIVE,False
Yo-BR-RE-DG,Macrame Yoga Mat Straps,Dark Grey,541.0,rectangular-yoga-bolster,1450.0,1625.0,ACTIVE,False
Yo-BR-RE-NB,Macrame Yoga Mat Straps,Navy Blue,541.0,rectangular-yoga-bolster,1450.0,1625.0,ACTIVE,False
Yo-BR-RE-RE,Macrame Yoga Mat Straps,Rose,541.0,rectangular-yoga-bolster,1450.0,1625.0,ACTIVE,False
Yo-BR-RE-RP,Macrame Yoga Mat Straps,Rouge Pink,541.0,rectangular-yoga-bolster,1450.0,1625.0,ACTIVE,False
Yo-BR-RE-SE,Macrame Yoga Mat Straps,Sage,541.0,rectangular-yoga-bolster,1450.0,1625.0,ACTIVE,False
Yo-BR-R-DG,Round Yoga Bolster,Dark Grey,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
