product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
singing-bowl-bags,MI-SB-Bag-M,false,ACTIVE,289000,199000,3700,3200,"",1,type=Standard,4
singing-bowl-bags,MI-SB-Bag-S,true,ACTIVE,249000,179000,3400,2900,"",1,type=Small,4
singing-bowl-set-g-a-b,woo-49832,true,ACTIVE,2550000,1950000,27500,21000,"",0,"",0
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Blue;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Blue;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Blue;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Blue;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Blue;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Blue;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-B-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Blue;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-10,false,ACTIVE,20900,19000,620,550,"",1,colour=Black;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-12,false,ACTIVE,24200,22000,670,600,"",1,colour=Black;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-14,false,ACTIVE,32500,29500,730,650,"",1,colour=Black;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-16,false,ACTIVE,35800,32500,780,700,"",1,colour=Black;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-18,false,ACTIVE,42400,38500,840,750,"",1,colour=Black;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Black;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-BK-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Black;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Brown;size=10 cms,4
