id,slug,name,type,sku,parent,has_options,prices_currency,variation_count,image_count,short_desc_len,desc_len,permalink
6668,yoga-blanket,Yoga Blanket made from Organic Cotton,variable,,0,True,INR,3,12,646,0,https://sarveda.com/store/yoga-and-meditation/meditation-cushions-benches/yoga-blanket/
6638,copper-water-bottle-with-2-glasses-set-with-7-chakra-design,Copper Bottle Gift Set &#8211; 7 Chakra,variable,,0,True,INR,2,11,688,688,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-water-bottle-with-2-glasses-set-with-7-chakra-design/
6530,yoga-strap,Yoga Belt/Strap for Sturdy Grip,variable,,0,True,INR,5,17,886,0,https://sarveda.com/store/yoga-and-meditation/yoga-mats-props/yoga-strap/
6519,sarveda-lavender-scented-eye-pillows-for-yoga-meditation-and-relaxation-made-with-cotton-filled-with-flaxseed,Natural Lavender Scented Eye Pillows,variable,,0,True,INR,5,13,962,0,https://sarveda.com/store/sound-musical-instruments/tuning-forks/sarveda-lavender-scented-eye-pillows-for-yoga-meditation-and-relaxation-made-with-cotton-filled-with-flaxseed/
6505,stainless-steel-straws,Stainless Steel Straws,variable,,0,True,INR,2,10,580,0,https://sarveda.com/store/eco-living-sustainable/home-workspace/stainless-steel-straws/
6289,ayurvedic-copper-bedroom-jar,Ayurvedic Copper Bedroom Jar,simple,CB-BJ,0,False,INR,0,9,609,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/ayurvedic-copper-bedroom-jar/
6080,engraved-copper-water-bottles,7 Chakras Copper Water Bottles,variable,,0,True,INR,8,11,658,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/engraved-copper-water-bottles/
6071,non-printed-copper-water-bottles,"Grooved, Hammered &#038; Plain Copper Bottle",variable,,0,True,INR,12,13,517,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/non-printed-copper-water-bottles/
6062,mini-coconut-shaker-3-types,Mini Coconut Shakers &#8211; 3 Types,variable,,0,True,INR,4,15,644,8,https://sarveda.com/store/sound-musical-instruments/kids/mini-coconut-shaker-3-types/
6007,printed-copper-water-bottles,Artistically Designed Copper Bottles,variable,,0,True,INR,20,12,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/printed-copper-water-bottles/
5934,copper-bottle-curved-copper-diamond-groove,Curved Diamond Groove Copper Bottle,variable,,0,True,INR,4,8,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-curved-copper-diamond-groove/
5769,jala-neti-pot,Jala Neti Pot &#8211; Ceramic 185 ml,variable,,0,True,INR,4,16,406,0,https://sarveda.com/store/eco-living-sustainable/personal-care/jala-neti-pot/
