sheet_name,demo_name,demo_slug,demo_status,match_how
Egg Shaker with Handle,egg-shaker-with-handle,Egg Shaker with Handle,ACTIVE,exact_name
Element Chimes,elemental-chimes,Elemental Chimes,ACTIVE,sku
Etched Handmade Singing Bowls,etched-handmade-singing-bowls,Etched Handmade Singing Bowls,ACTIVE,exact_name
Etched Plain/Wind Gong,etched-plain-wind-gong,Etched Plain/Wind Gong,ACTIVE,exact_name
Extra Large Meridian Singing Bowls,extra-large-meridian-singing-bowls,Extra Large Meridian Singing Bowls,ACTIVE,exact_name
Eye Shaped Natural Lavender Scented Eye Pillows,eye-shaped-natural-lavender-scented-eye-pillows,Eye Shaped Natural Lavender Scented Eye Pillows,ACTIVE,exact_name
Flower of Life with Sacred Symbols Singing Bowls,flower-of-life-with-sacred-symbols-singing-bowls,Flower of Life with Sacred Symbols Singing Bowls,ACTIVE,exact_name
Full Moon Singing Bowls - All Sizes,full-moon-singing-bowls-all-sizes,Full Moon Singing Bowls - All Sizes,ACTIVE,exact_name
Gong Bags,gong-bags,Gong Bags,ACTIVE,exact_name
Gong Stand,gong-stand,Gong Stand,ACTIVE,exact_name
Handcrafted Set of 7 Bowls for Sound Therapy,handcrafted-set-of-7-bowls-for-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,ACTIVE,exact_name
Handheld Natural Coconut Shaker,handheld-natural-coconut-shaker,Handheld Natural Coconut Shaker,ACTIVE,exact_name
Handmade Singing Bowls - All Sizes,handmade-singing-bowls-all-sizes,Handmade Singing Bowls - All Sizes,ACTIVE,exact_name
Handmade Universal Bowl for Sound Healing,handmade-universal-bowl-for-sound-healing,Handmade Universal Bowl for Sound Healing,ACTIVE,exact_name
Hi-Zafu Meditation Cushion - Embroidered with Lotus,hi-zafu-meditation-cushion-embroidered-with-lotus,Hi-Zafu Meditation Cushion - Embroidered with Lotus,ACTIVE,exact_name
Hi-Zafu Meditation Cushion - Filled with Buckwheat,hi-zafu-meditation-cushion-filled-with-buckwheat,Hi-Zafu Meditation Cushion - Filled with Buckwheat,ACTIVE,exact_name
Jala Neti Pot - Ceramic 185 ml,jala-neti-pot-ceramic-185-ml,Jala Neti Pot - Ceramic 185 ml,ACTIVE,exact_name
Joint Bowl or Knee Cut Bowl,joint-bowl-or-knee-cut-bowl,Joint Bowl or Knee Cut Bowl,ACTIVE,exact_name
Kenari Bracelet,kenari-bracelet,Kenari Bracelet,ACTIVE,exact_name
Macrame Yoga Mat Straps,macrame-yoga-mat-straps,Macrame Yoga Mat Straps,ACTIVE,exact_name
Mini Coconut Shakers - 3 Types,mini-coconut-shakers-3-types,Mini Coconut Shakers - 3 Types,ACTIVE,exact_name
Musical Wooden Frog,musical-wooden-frog,Musical Wooden Frog,ACTIVE,exact_name
Natural Bamboo Xylophone with 5 Keys,natural-bamboo-xylophone-with-5-keys,Natural Bamboo Xylophone with 5 Keys,ACTIVE,exact_name
Natural Lavender Scented Eye Pillows,natural-lavender-scented-eye-pillows,Natural Lavender Scented Eye Pillows,ACTIVE,exact_name
Ocean Drums,ocean-drums,Ocean Drums,ACTIVE,exact_name
Painted Egg Shakers,painted-egg-shakers,Painted Egg Shakers,ACTIVE,exact_name
Pangi Seed Shell Rattle,pangi-seed-shell-rattle,Pangi Seed Shell Rattle,ACTIVE,exact_name
Round Yoga Bolster,round-yoga-bolster,Round Yoga Bolster,ACTIVE,exact_name
S-Shaped Didgeridoo,s-shaped-didgeridoo,S-Shaped Didgeridoo,ACTIVE,exact_name
Sacred Symbols Singing Bowls,sacred-symbols-singing-bowls,Sacred Symbols Singing Bowls,ACTIVE,exact_name
Shamanic Drum,shamanic-drum,Shamanic Drum,ACTIVE,exact_name
Shankh/Conch,shankh-conch,Shankh/Conch,ACTIVE,exact_name
Singing Bowl Bags,singing-bowl-bags,Singing Bowl Bags,ACTIVE,exact_name
